frame,x,y,width,height,box_area,smoothed_area,area_ratio,overtake_chance,status,tracking
60,836,496,83,49,4067,3546.866666666667,1.172905643738977,53,⚡ MEDIUM OVERTAKE CHANCE,success
61,836,497,79,46,3634,3546.866666666667,1.172905643738977,53,⚡ MEDIUM OVERTAKE CHANCE,success
62,835,497,79,46,3634,3546.866666666667,1.172905643738977,53,⚡ MEDIUM OVERTAKE CHANCE,success
63,833,498,76,44,3344,3527.5333333333333,1.1665123456790123,52,⚡ MEDIUM OVERTAKE CHANCE,success
64,832,499,76,44,3344,3508.2,1.1601190476190475,51,⚡ MEDIUM OVERTAKE CHANCE,success
65,829,497,79,46,3634,3527.5333333333333,1.1665123456790123,52,⚡ MEDIUM OVERTAKE CHANCE,success
66,826,497,79,46,3634,3527.5333333333333,1.1665123456790123,52,⚡ MEDIUM OVERTAKE CHANCE,success
67,825,497,79,46,3634,3546.866666666667,1.172905643738977,53,⚡ MEDIUM OVERTAKE CHANCE,success
68,824,497,79,46,3634,3546.866666666667,1.172905643738977,53,⚡ MEDIUM OVERTAKE CHANCE,success
69,823,495,79,46,3634,3566.2,1.1792989417989417,54,⚡ MEDIUM OVERTAKE CHANCE,success
70,822,496,79,46,3634,3585.5333333333333,1.1856922398589065,55,⚡ MEDIUM OVERTAKE CHANCE,success
71,822,496,79,46,3634,3604.866666666667,1.1920855379188713,56,⚡ MEDIUM OVERTAKE CHANCE,success
72,823,496,79,46,3634,3624.2,1.1984788359788359,56,⚡ MEDIUM OVERTAKE CHANCE,success
73,824,496,79,46,3634,3624.2,1.1984788359788359,56,⚡ MEDIUM OVERTAKE CHANCE,success
74,825,496,79,46,3634,3624.2,1.1984788359788359,56,⚡ MEDIUM OVERTAKE CHANCE,success
75,826,496,79,46,3634,3595.3333333333335,1.1889329805996474,55,⚡ MEDIUM OVERTAKE CHANCE,success
76,832,497,76,44,3344,3576.0,1.1825396825396826,54,⚡ MEDIUM OVERTAKE CHANCE,success
77,830,497,79,46,3634,3576.0,1.1825396825396826,54,⚡ MEDIUM OVERTAKE CHANCE,success
78,833,495,79,46,3634,3595.3333333333335,1.1889329805996474,55,⚡ MEDIUM OVERTAKE CHANCE,success
79,833,495,79,46,3634,3614.6666666666665,1.195326278659612,56,⚡ MEDIUM OVERTAKE CHANCE,success
80,834,495,79,46,3634,3614.6666666666665,1.195326278659612,56,⚡ MEDIUM OVERTAKE CHANCE,success
81,837,497,76,44,3344,3595.3333333333335,1.1889329805996474,55,⚡ MEDIUM OVERTAKE CHANCE,success
82,837,497,79,46,3634,3595.3333333333335,1.1889329805996474,55,⚡ MEDIUM OVERTAKE CHANCE,success
83,837,497,79,46,3634,3595.3333333333335,1.1889329805996474,55,⚡ MEDIUM OVERTAKE CHANCE,success
84,839,498,76,44,3344,3576.0,1.1825396825396826,54,⚡ MEDIUM OVERTAKE CHANCE,success
85,836,498,79,46,3634,3576.0,1.1825396825396826,54,⚡ MEDIUM OVERTAKE CHANCE,success
86,838,498,76,44,3344,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
87,836,498,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
88,836,498,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
89,837,498,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
90,839,499,76,44,3344,3537.3333333333335,1.1697530864197532,52,⚡ MEDIUM OVERTAKE CHANCE,success
91,841,499,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
92,841,498,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
93,844,498,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
94,844,498,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
95,844,498,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
96,848,501,76,44,3344,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
97,846,501,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
98,850,501,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
99,850,501,79,46,3634,3576.0,1.1825396825396826,54,⚡ MEDIUM OVERTAKE CHANCE,success
100,850,499,83,49,4067,3604.866666666667,1.1920855379188713,56,⚡ MEDIUM OVERTAKE CHANCE,success
101,853,500,79,46,3634,3624.2,1.1984788359788359,56,⚡ MEDIUM OVERTAKE CHANCE,success
102,853,499,79,46,3634,3624.2,1.1984788359788359,56,⚡ MEDIUM OVERTAKE CHANCE,success
103,853,500,79,46,3634,3624.2,1.1984788359788359,56,⚡ MEDIUM OVERTAKE CHANCE,success
104,854,501,79,46,3634,3624.2,1.1984788359788359,56,⚡ MEDIUM OVERTAKE CHANCE,success
105,854,502,79,46,3634,3643.5333333333333,1.2048721340388007,57,⚡ MEDIUM OVERTAKE CHANCE,success
106,854,503,79,46,3634,3643.5333333333333,1.2048721340388007,57,⚡ MEDIUM OVERTAKE CHANCE,success
107,855,503,79,46,3634,3643.5333333333333,1.2048721340388007,57,⚡ MEDIUM OVERTAKE CHANCE,success
108,857,503,79,46,3634,3643.5333333333333,1.2048721340388007,57,⚡ MEDIUM OVERTAKE CHANCE,success
109,858,502,79,46,3634,3643.5333333333333,1.2048721340388007,57,⚡ MEDIUM OVERTAKE CHANCE,success
110,858,503,79,46,3634,3643.5333333333333,1.2048721340388007,57,⚡ MEDIUM OVERTAKE CHANCE,success
111,858,501,83,49,4067,3691.733333333333,1.220811287477954,60,⚡ MEDIUM OVERTAKE CHANCE,success
112,859,501,83,49,4067,3720.6,1.230357142857143,61,⚡ MEDIUM OVERTAKE CHANCE,success
113,860,499,83,49,4067,3749.4666666666667,1.2399029982363317,62,⚡ MEDIUM OVERTAKE CHANCE,success
114,860,500,83,49,4067,3778.3333333333335,1.2494488536155204,64,⚡ MEDIUM OVERTAKE CHANCE,success
115,863,500,79,46,3634,3749.4666666666667,1.2399029982363317,62,⚡ MEDIUM OVERTAKE CHANCE,success
116,862,499,83,49,4067,3778.3333333333335,1.2494488536155204,64,⚡ MEDIUM OVERTAKE CHANCE,success
117,863,500,83,49,4067,3807.2,1.2589947089947089,65,⚡ MEDIUM OVERTAKE CHANCE,success
118,865,500,79,46,3634,3807.2,1.2589947089947089,65,⚡ MEDIUM OVERTAKE CHANCE,success
119,865,500,79,46,3634,3807.2,1.2589947089947089,65,⚡ MEDIUM OVERTAKE CHANCE,success
120,865,500,79,46,3634,3807.2,1.2589947089947089,65,⚡ MEDIUM OVERTAKE CHANCE,success
121,865,499,79,46,3634,3807.2,1.2589947089947089,65,⚡ MEDIUM OVERTAKE CHANCE,success
122,864,499,79,46,3634,3807.2,1.2589947089947089,65,⚡ MEDIUM OVERTAKE CHANCE,success
123,863,500,79,46,3634,3807.2,1.2589947089947089,65,⚡ MEDIUM OVERTAKE CHANCE,success
124,863,499,79,46,3634,3807.2,1.2589947089947089,65,⚡ MEDIUM OVERTAKE CHANCE,success
125,861,499,79,46,3634,3807.2,1.2589947089947089,65,⚡ MEDIUM OVERTAKE CHANCE,success
126,861,499,79,46,3634,3778.3333333333335,1.2494488536155204,64,⚡ MEDIUM OVERTAKE CHANCE,success
127,860,499,79,46,3634,3749.4666666666667,1.2399029982363317,62,⚡ MEDIUM OVERTAKE CHANCE,success
128,858,499,79,46,3634,3720.6,1.230357142857143,61,⚡ MEDIUM OVERTAKE CHANCE,success
129,857,499,79,46,3634,3691.733333333333,1.220811287477954,60,⚡ MEDIUM OVERTAKE CHANCE,success
130,856,499,79,46,3634,3691.733333333333,1.220811287477954,60,⚡ MEDIUM OVERTAKE CHANCE,success
131,854,500,79,46,3634,3662.866666666667,1.2112654320987655,58,⚡ MEDIUM OVERTAKE CHANCE,success
132,850,499,83,49,4067,3662.866666666667,1.2112654320987655,58,⚡ MEDIUM OVERTAKE CHANCE,success
133,849,499,83,49,4067,3691.733333333333,1.220811287477954,60,⚡ MEDIUM OVERTAKE CHANCE,success
134,848,499,83,49,4067,3720.6,1.230357142857143,61,⚡ MEDIUM OVERTAKE CHANCE,success
135,848,499,83,49,4067,3749.4666666666667,1.2399029982363317,62,⚡ MEDIUM OVERTAKE CHANCE,success
136,846,499,83,49,4067,3778.3333333333335,1.2494488536155204,64,⚡ MEDIUM OVERTAKE CHANCE,success
137,843,498,88,51,4488,3835.266666666667,1.2682760141093474,66,⚡ MEDIUM OVERTAKE CHANCE,success
138,840,498,92,54,4968,3924.2,1.2976851851851852,71,🚀 HIGH OVERTAKE CHANCE!,success
139,840,498,92,54,4968,4013.133333333333,1.327094356261023,75,🚀 HIGH OVERTAKE CHANCE!,success
140,839,498,92,54,4968,4102.066666666667,1.3565035273368606,79,🚀 HIGH OVERTAKE CHANCE!,success
141,839,497,92,54,4968,4191.0,1.3859126984126984,83,🚀 HIGH OVERTAKE CHANCE!,success
142,838,498,92,54,4968,4279.933333333333,1.415321869488536,87,🚀 HIGH OVERTAKE CHANCE!,success
143,837,497,92,54,4968,4368.866666666667,1.4447310405643738,92,🚀 HIGH OVERTAKE CHANCE!,success
144,837,497,92,54,4968,4457.8,1.4741402116402118,96,🚀 HIGH OVERTAKE CHANCE!,success
145,837,496,92,54,4968,4546.733333333334,1.5035493827160495,100,🚀 HIGH OVERTAKE CHANCE!,success
146,834,494,96,56,5376,4662.866666666667,1.5419532627865962,100,🚀 HIGH OVERTAKE CHANCE!,success
147,834,493,96,56,5376,4750.133333333333,1.570811287477954,100,🚀 HIGH OVERTAKE CHANCE!,success
148,833,492,96,56,5376,4837.4,1.599669312169312,100,🚀 HIGH OVERTAKE CHANCE!,success
149,833,491,96,56,5376,4924.666666666667,1.6285273368606703,100,🚀 HIGH OVERTAKE CHANCE!,success
150,833,490,96,56,5376,5011.933333333333,1.6573853615520282,100,🚀 HIGH OVERTAKE CHANCE!,success
151,833,488,96,56,5376,5099.2,1.686243386243386,100,🚀 HIGH OVERTAKE CHANCE!,success
152,833,487,96,56,5376,5158.4,1.7058201058201057,100,🚀 HIGH OVERTAKE CHANCE!,success
153,833,485,96,56,5376,5185.6,1.714814814814815,100,🚀 HIGH OVERTAKE CHANCE!,success
154,833,484,96,56,5376,5212.8,1.723809523809524,100,🚀 HIGH OVERTAKE CHANCE!,success
155,833,484,96,56,5376,5240.0,1.7328042328042328,100,🚀 HIGH OVERTAKE CHANCE!,success
156,833,483,96,56,5376,5267.2,1.7417989417989417,100,🚀 HIGH OVERTAKE CHANCE!,success
157,830,482,101,59,5959,5333.266666666666,1.7636463844797177,100,🚀 HIGH OVERTAKE CHANCE!,success
158,831,481,101,59,5959,5399.333333333333,1.7854938271604937,100,🚀 HIGH OVERTAKE CHANCE!,success
159,828,479,106,62,6572,5506.266666666666,1.8208553791887125,100,🚀 HIGH OVERTAKE CHANCE!,success
160,831,480,101,59,5959,5572.333333333333,1.8427028218694885,100,🚀 HIGH OVERTAKE CHANCE!,success
161,828,478,106,62,6572,5652.066666666667,1.8690696649029983,100,🚀 HIGH OVERTAKE CHANCE!,success
162,829,477,106,62,6572,5731.8,1.895436507936508,100,🚀 HIGH OVERTAKE CHANCE!,success
163,830,477,106,62,6572,5811.533333333334,1.9218033509700179,100,🚀 HIGH OVERTAKE CHANCE!,success
164,830,476,106,62,6572,5891.266666666666,1.9481701940035272,100,🚀 HIGH OVERTAKE CHANCE!,success
165,830,476,106,62,6572,5971.0,1.974537037037037,100,🚀 HIGH OVERTAKE CHANCE!,success
166,830,475,106,62,6572,6050.733333333334,2.0009038800705468,100,🚀 HIGH OVERTAKE CHANCE!,success
167,830,476,106,62,6572,6130.466666666666,2.0272707231040563,100,🚀 HIGH OVERTAKE CHANCE!,success
168,830,475,106,62,6572,6210.2,2.053637566137566,100,🚀 HIGH OVERTAKE CHANCE!,success
169,831,476,106,62,6572,6289.933333333333,2.080004409171076,100,🚀 HIGH OVERTAKE CHANCE!,success
170,831,477,106,62,6572,6369.666666666667,2.1063712522045854,100,🚀 HIGH OVERTAKE CHANCE!,success
171,831,476,106,62,6572,6449.4,2.132738095238095,100,🚀 HIGH OVERTAKE CHANCE!,success
172,832,475,106,62,6572,6490.266666666666,2.146252204585538,100,🚀 HIGH OVERTAKE CHANCE!,success
173,833,476,106,62,6572,6531.133333333333,2.1597663139329804,100,🚀 HIGH OVERTAKE CHANCE!,success
174,833,476,106,62,6572,6531.133333333333,2.1597663139329804,100,🚀 HIGH OVERTAKE CHANCE!,success
175,834,477,106,62,6572,6572.0,2.1732804232804233,100,🚀 HIGH OVERTAKE CHANCE!,success
176,833,476,112,65,7280,6619.2,2.1888888888888887,100,🚀 HIGH OVERTAKE CHANCE!,success
177,833,476,112,65,7280,6666.4,2.2044973544973545,100,🚀 HIGH OVERTAKE CHANCE!,success
178,834,476,112,65,7280,6713.6,2.2201058201058204,100,🚀 HIGH OVERTAKE CHANCE!,success
179,835,476,112,65,7280,6760.8,2.2357142857142858,100,🚀 HIGH OVERTAKE CHANCE!,success
180,835,476,112,65,7280,6808.0,2.251322751322751,100,🚀 HIGH OVERTAKE CHANCE!,success
181,836,476,112,65,7280,6855.2,2.266931216931217,100,🚀 HIGH OVERTAKE CHANCE!,success
182,836,476,112,65,7280,6902.4,2.2825396825396824,100,🚀 HIGH OVERTAKE CHANCE!,success
183,833,474,117,68,7956,6994.666666666667,2.31305114638448,100,🚀 HIGH OVERTAKE CHANCE!,success
184,836,475,112,65,7280,7041.866666666667,2.3286596119929452,100,🚀 HIGH OVERTAKE CHANCE!,success
185,833,474,117,68,7956,7134.133333333333,2.3591710758377427,100,🚀 HIGH OVERTAKE CHANCE!,success
186,834,472,117,68,7956,7226.4,2.3896825396825396,100,🚀 HIGH OVERTAKE CHANCE!,success
187,834,471,117,68,7956,7318.666666666667,2.420194003527337,100,🚀 HIGH OVERTAKE CHANCE!,success
188,834,470,117,68,7956,7410.933333333333,2.450705467372134,100,🚀 HIGH OVERTAKE CHANCE!,success
189,834,470,117,68,7956,7503.2,2.481216931216931,100,🚀 HIGH OVERTAKE CHANCE!,success
190,838,473,112,65,7280,7550.4,2.496825396825397,100,🚀 HIGH OVERTAKE CHANCE!,success
191,835,473,117,68,7956,7595.466666666666,2.5117283950617284,100,🚀 HIGH OVERTAKE CHANCE!,success
192,835,474,117,68,7956,7640.533333333334,2.52663139329806,100,🚀 HIGH OVERTAKE CHANCE!,success
193,836,474,117,68,7956,7685.6,2.5415343915343915,100,🚀 HIGH OVERTAKE CHANCE!,success
194,836,474,117,68,7956,7730.666666666667,2.556437389770723,100,🚀 HIGH OVERTAKE CHANCE!,success
195,839,476,112,65,7280,7730.666666666667,2.556437389770723,100,🚀 HIGH OVERTAKE CHANCE!,success
196,838,475,117,68,7956,7775.733333333334,2.5713403880070547,100,🚀 HIGH OVERTAKE CHANCE!,success
197,839,474,117,68,7956,7820.8,2.5862433862433862,100,🚀 HIGH OVERTAKE CHANCE!,success
198,839,474,117,68,7956,7820.8,2.5862433862433862,100,🚀 HIGH OVERTAKE CHANCE!,success
199,843,475,112,65,7280,7820.8,2.5862433862433862,100,🚀 HIGH OVERTAKE CHANCE!,success
200,841,474,117,68,7956,7820.8,2.5862433862433862,100,🚀 HIGH OVERTAKE CHANCE!,success
201,844,475,112,65,7280,7775.733333333334,2.5713403880070547,100,🚀 HIGH OVERTAKE CHANCE!,success
202,842,474,117,68,7956,7775.733333333334,2.5713403880070547,100,🚀 HIGH OVERTAKE CHANCE!,success
203,843,474,117,68,7956,7775.733333333334,2.5713403880070547,100,🚀 HIGH OVERTAKE CHANCE!,success
204,843,474,117,68,7956,7775.733333333334,2.5713403880070547,100,🚀 HIGH OVERTAKE CHANCE!,success
205,846,476,112,65,7280,7775.733333333334,2.5713403880070547,100,🚀 HIGH OVERTAKE CHANCE!,success
206,847,477,112,65,7280,7730.666666666667,2.556437389770723,100,🚀 HIGH OVERTAKE CHANCE!,success
207,845,477,117,68,7956,7730.666666666667,2.556437389770723,100,🚀 HIGH OVERTAKE CHANCE!,success
208,846,477,117,68,7956,7730.666666666667,2.556437389770723,100,🚀 HIGH OVERTAKE CHANCE!,success
209,847,477,117,68,7956,7730.666666666667,2.556437389770723,100,🚀 HIGH OVERTAKE CHANCE!,success
210,848,477,117,68,7956,7775.733333333334,2.5713403880070547,100,🚀 HIGH OVERTAKE CHANCE!,success
211,851,478,112,65,7280,7730.666666666667,2.556437389770723,100,🚀 HIGH OVERTAKE CHANCE!,success
212,849,476,117,68,7956,7730.666666666667,2.556437389770723,100,🚀 HIGH OVERTAKE CHANCE!,success
213,850,475,117,68,7956,7730.666666666667,2.556437389770723,100,🚀 HIGH OVERTAKE CHANCE!,success
214,850,475,117,68,7956,7775.733333333334,2.5713403880070547,100,🚀 HIGH OVERTAKE CHANCE!,success
215,853,476,112,65,7280,7730.666666666667,2.556437389770723,100,🚀 HIGH OVERTAKE CHANCE!,success
216,851,475,117,68,7956,7775.733333333334,2.5713403880070547,100,🚀 HIGH OVERTAKE CHANCE!,success
217,850,476,117,68,7956,7775.733333333334,2.5713403880070547,100,🚀 HIGH OVERTAKE CHANCE!,success
218,847,476,123,72,8856,7835.733333333334,2.5911816578483244,100,🚀 HIGH OVERTAKE CHANCE!,success
219,849,476,123,72,8856,7895.733333333334,2.6110229276895947,100,🚀 HIGH OVERTAKE CHANCE!,success
220,845,476,129,75,9675,8055.4,2.6638227513227513,100,🚀 HIGH OVERTAKE CHANCE!,success
221,845,477,129,75,9675,8215.066666666668,2.7166225749559088,100,🚀 HIGH OVERTAKE CHANCE!,success
222,842,476,136,79,10744,8400.933333333332,2.778086419753086,100,🚀 HIGH OVERTAKE CHANCE!,success
223,841,477,136,79,10744,8586.8,2.8395502645502644,100,🚀 HIGH OVERTAKE CHANCE!,success
224,840,477,136,79,10744,8772.666666666666,2.9010141093474426,100,🚀 HIGH OVERTAKE CHANCE!,success
225,836,476,143,83,11869,9033.533333333333,2.987279541446208,100,🚀 HIGH OVERTAKE CHANCE!,success
226,834,476,143,83,11869,9339.466666666667,3.088447971781305,100,🚀 HIGH OVERTAKE CHANCE!,success
227,833,475,143,83,11869,9600.333333333334,3.174713403880071,100,🚀 HIGH OVERTAKE CHANCE!,success
228,830,475,143,83,11869,9861.2,3.260978835978836,100,🚀 HIGH OVERTAKE CHANCE!,success
229,829,475,143,83,11869,10122.066666666668,3.347244268077602,100,🚀 HIGH OVERTAKE CHANCE!,success
230,828,475,143,83,11869,10428.0,3.4484126984126986,100,🚀 HIGH OVERTAKE CHANCE!,success
231,826,475,143,83,11869,10688.866666666667,3.534678130511464,100,🚀 HIGH OVERTAKE CHANCE!,success
232,826,474,143,83,11869,10949.733333333334,3.6209435626102295,100,🚀 HIGH OVERTAKE CHANCE!,success
233,824,474,143,83,11869,11150.6,3.687367724867725,100,🚀 HIGH OVERTAKE CHANCE!,success
234,826,476,136,79,10744,11276.466666666667,3.7289902998236335,100,🚀 HIGH OVERTAKE CHANCE!,success
235,821,475,143,83,11869,11422.733333333334,3.7773589065255733,100,🚀 HIGH OVERTAKE CHANCE!,success
236,821,476,143,83,11869,11569.0,3.825727513227513,100,🚀 HIGH OVERTAKE CHANCE!,success
237,823,478,136,79,10744,11569.0,3.825727513227513,100,🚀 HIGH OVERTAKE CHANCE!,success
238,819,477,143,83,11869,11644.0,3.8505291005291005,100,🚀 HIGH OVERTAKE CHANCE!,success
239,822,479,136,79,10744,11644.0,3.8505291005291005,100,🚀 HIGH OVERTAKE CHANCE!,success
240,818,479,143,83,11869,11644.0,3.8505291005291005,100,🚀 HIGH OVERTAKE CHANCE!,success
241,817,479,143,83,11869,11644.0,3.8505291005291005,100,🚀 HIGH OVERTAKE CHANCE!,success
242,816,479,143,83,11869,11644.0,3.8505291005291005,100,🚀 HIGH OVERTAKE CHANCE!,success
243,816,479,143,83,11869,11644.0,3.8505291005291005,100,🚀 HIGH OVERTAKE CHANCE!,success
244,816,479,143,83,11869,11644.0,3.8505291005291005,100,🚀 HIGH OVERTAKE CHANCE!,success
245,816,479,143,83,11869,11644.0,3.8505291005291005,100,🚀 HIGH OVERTAKE CHANCE!,success
246,812,477,150,87,13050,11722.733333333334,3.8765652557319226,100,🚀 HIGH OVERTAKE CHANCE!,success
247,813,478,150,87,13050,11801.466666666667,3.902601410934744,100,🚀 HIGH OVERTAKE CHANCE!,success
248,813,478,150,87,13050,11880.2,3.9286375661375663,100,🚀 HIGH OVERTAKE CHANCE!,success
249,814,479,150,87,13050,12033.933333333332,3.979475308641975,100,🚀 HIGH OVERTAKE CHANCE!,success
250,814,479,150,87,13050,12112.666666666666,4.005511463844797,100,🚀 HIGH OVERTAKE CHANCE!,success
251,815,480,150,87,13050,12191.4,4.031547619047619,100,🚀 HIGH OVERTAKE CHANCE!,success
252,815,480,150,87,13050,12345.133333333333,4.082385361552028,100,🚀 HIGH OVERTAKE CHANCE!,success
253,812,478,157,92,14444,12516.8,4.139153439153439,100,🚀 HIGH OVERTAKE CHANCE!,success
254,812,479,157,92,14444,12763.466666666667,4.220723104056438,100,🚀 HIGH OVERTAKE CHANCE!,success
255,820,484,143,83,11869,12763.466666666667,4.220723104056438,100,🚀 HIGH OVERTAKE CHANCE!,success
